name,date,meetupName
Marcella Clubley,2020-02-02,Manchested United Pub Crawl
Blaire Clutton,2020-03-10,Napoli Pizza Party         
Marj Burkwood,2020-01-07,PSG Fan Party              
Adolf Bullan,2019-12-03,Real Madrid Fan Party      
Aguistin Northcliffe,2019-12-09,Tottenham Pub Crawl        
Armin Banbrigge,2019-11-14,Arsenal Fan Party          
Waverley Arlett,2019-12-15,Barcelona Fan Party        
Joyann Bend,2019-10-04,Bayern Munich Fan Party    
Miriam Chevolleau,2019-11-27,Chelsea Beer Garden        
Skipp Duffit,2019-11-24,Juventus Fan Party         
Talyah Buggy,2019-07-21,Liverpool Beer Garden      
Jamal Gittens,2020-02-02,Manchested United Pub Crawl
Marty McIver,2020-03-10,Napoli Pizza Party         
Lyda Last,2020-01-07,PSG Fan Party              
Silvio Rowney,2019-12-03,Real Madrid Fan Party      
Saxe Bogue,2019-12-09,Tottenham Pub Crawl        
Jelene Blowfelde,2019-11-14,Arsenal Fan Party          
Karlis Dregan,2019-12-15,Barcelona Fan Party        
Cosimo Janiszewski,2019-10-04,Bayern Munich Fan Party    
Modestine Semens,2019-11-27,Chelsea Beer Garden        
Tabatha Stenbridge,2019-11-24,Juventus Fan Party         
Brig Edgin,2019-07-21,Liverpool Beer Garden      
Orson Raddish,2020-02-02,Manchested United Pub Crawl
Barthel Perford,2020-03-10,Napoli Pizza Party         
Raeann Westerman,2020-01-07,PSG Fan Party              
Killie Tongue,2019-12-03,Real Madrid Fan Party
